순위,카테고리,채널명,구독자수,조회수,비디오수
383,미분류,tripleS official,1720000,238450000,993
382,미분류,너덜트,1720000,269700000,59
381,미분류,요리용디 Yori Yongd,1720000,1466360000,503
380,키즈/어린이,지니키즈 Genikids (인기 동요・동화),1720000,1449560000,1263
390,미분류,신사장,1710000,1972200000,715
389,TV/방송,INTHESOOP_TV,1710000,52850000,76
388,뉴스/정치/사회,뉴스TVCHOSUN,1710000,1713470000,92312
387,게임,T1 Faker,1710000,378170000,1355
386,음악/댄스/가수,Dreamcatcher official,1710000,559550000,715
385,음악/댄스/가수,PENTAGON 펜타곤 (Official YouTube Channel),1710000,353700000,750
384,TV/방송,MKTV 김미경TV,1710000,381530000,2095
393,키즈/어린이,츈례쌤 CRS,1700000,120000,15
392,미분류,김대석 셰프TV,1700000,371380000,939
391,영화/만화/애니,김시선,1700000,462240000,467
395,음악/댄스/가수,시즌비시즌 Season B Season,1690000,306990000,137
394,BJ/인물/연예인,웃소 Wootso,1690000,2188820000,1035
398,국내/해외/여행,곽튜브,1680000,380910000,312
397,BJ/인물/연예인,더블비,1680000,1275140000,648
396,게임,양띵 유튜브,1680000,2134950000,9631
400,미분류,빵빵이의 일상,1670000,448270000,52
399,IT/기술/컴퓨터,약사가 들려주는 약 이야기,1670000,265720000,571
403,키즈/어린이,베베핀 Bebefinn - 키즈 인기 동요,1660000,479990000,316
402,미분류,STAYC,1660000,970060000,690
401,주식/경제/부동산,신사임당,1660000,338170000,1579
406,교육/강의,조승연의 탐구생활,1650000,164190000,386
405,음악/댄스/가수,DOJIN도진이,1650000,101180000,70
404,교육/강의,Talk To Me In Korean,1650000,79460000,1748
409,TV/방송,Beginagain 비긴어게인,1640000,908910000,1879
408,뉴스/정치/사회,오마이TV,1640000,1530400000,26944
407,음악/댄스/가수,버블디아,1640000,490790000,1369
411,패션/미용,이수현 Official,1630000,139680000,132
410,BJ/인물/연예인,요리왕비룡 Korean Food Cooking,1630000,352740000,997
415,미분류,스토리,1620000,437630000,91
414,회사/오피셜,미스&미스터트롯,1620000,1895910000,7014
413,교육/강의,seemile Korean,1620000,112780000,1278
